입주형태통합코드,자산,부채,경상소득
1,50542,0,15318
1,301800,30000,6193
1,18950,800,1511
1,16863,1000,3309
1,64046,26020,4994
1,69345,2400,5362
1,50508,13784,8155
1,80500,4000,2356
1,46110,2956,9864
1,26570,0,11742
1,82780,0,1701
1,22041,1500,3172
1,31840,0,2074
1,90850,0,3605
1,15340,0,10546
1,270981,0,19608
1,87500,10000,1728
1,70212,19500,12579
1,58424,13000,2697
1,68127,0,6778
1,2260,0,1681
1,41954,10000,10743
1,105370,2000,5270
1,10722,0,4760
1,32970,0,4215
1,25309,8196,4790
1,36500,600,1624
1,62654,0,4690
1,34186,0,5073
1,50680,24600,6059
1,23710,0,2011
1,13200,0,2861
1,143500,63900,14825
1,67600,15210,6624
1,18676,1200,3319
1,93746,45660,8261
1,81023,2980,6307
1,18640,0,6518
1,54370,15000,12024
1,27465,0,3161
1,35172,1200,7513
1,189176,12325,15074
1,54230,0,10584
1,61700,0,9031
1,34639,0,2095
1,25740,7300,6996
1,124870,19600,10733
1,234400,70000,24508
1,23955,3700,4004
1,15550,6000,867
1,40484,3450,7678
1,42726,13000,6049
1,62527,1000,5710
1,591281,163230,14152
1,19626,0,2836
1,245603,0,11335
1,166459,1000,5931
1,22982,5130,8670
1,10300,0,1157
1,52550,0,3193
1,4842,0,2841
1,17978,0,2591
1,16394,0,4209
1,54550,0,3912
1,12829,0,2011
1,108708,8600,8005
1,31870,0,5628
1,106720,0,7455
1,5270,0,818
1,77556,0,14434
1,22180,0,956
1,75447,38189,14335
1,25600,0,2461
1,28250,0,8675
1,65300,1000,2982
1,7100,2900,1178
1,40500,0,2426
1,33601,13620,3717
1,3920,0,1321
1,465175,53000,10901
1,6357,2050,2390
1,17652,0,6401
1,10710,3000,1121
1,47062,2000,1903
1,18208,0,2964
1,26478,0,6109
1,27840,12926,5204
1,15550,0,974
1,51310,16000,3510
1,140510,47000,4907
1,98600,13000,14002
1,116430,7870,11893
1,45600,500,3521
1,111288,42000,11625
1,154364,12000,9910
1,340720,25010,6232
1,12280,0,4324
1,79400,0,2768
1,7300,0,875
1,154582,42000,5470
1,32300,0,1460
1,109300,0,5288
1,8328,400,3172
1,24830,0,1591
1,14220,0,1407
1,34700,0,5638
1,13630,394,6340
1,32360,9000,6090
1,52030,0,6995
1,26620,0,2081
1,22800,2500,1218
1,60940,3000,4207
